No;Fulltext;Status
418;@fwbbasesby3 Bisa kena Tilang elektronik ga si;
419;07.47 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Raya Bekasi Klender Jaktim. @TMCPoldaMetro https://t.co/wPpGd80Qv8;
420;08:00: RT @TMCPoldaMetro : Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Raya Bekasi Klender Jaktim. https://t.co/B7dA61owjp;
421;07.47 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Raya Bekasi Klender Jaktim. https://t.co/o6l0003589;
422;Penerapan Tilang Elektronik di Indonesia Dinilai Belum Cukup Efektif Karena Hal Ini https://t.co/xtN1AQzltA;
423;apakah kena tilang elektronik? wkwkw;
424;kan ada tilang elektronik buat apaan ya masih mejeng. kalo razia masa iya berdua doang ga ada plang razia nya juga lagi wkwk sumpah niat bgt jam 11 malem;
425;@PTJASAMARGA Mudah2n bener2 diterapkan tilang elektronik bagi pelanggar gage di tol arus mudik dan balik. Terimakasih;
426;@arcanevanya @convomf Ada tilang elektronik;
427;Evaluasi Arus Mudik 2024 Dirgakkum : Pelanggaran Tilang Elektronik (ETLE) Meningkat 15 9% https://t.co/lCE8gvmA1W;
428;11.27 Polri Dit Lantas PMJ melakukan kegiatan penindakan tilang secara elektronik di turunan Layang MBZ Tol Japek Km. 10 arah Cawang kepada pengendara mobil yang melanggar kebijakan pembatasan kendaraan dengan sistem GAGE selama arus balik Lebaran 2024. https://t.co/8ko5GwZvuy;
429;kalo lg tanggal ganjil tp plat mobilnya genap itu bakalan disuruh keluar tol atau bayar tilang elektronik ya?;
430;@KepaArgawinata7 Itulah kenapa ada tilang elektronik jd para pengendara harus hati2 dan taat aturan polisi tinggal mengawasi kamera enak ya jd polisi?;
431;@AE86kouki @catuaries Ini mungkin perlunya tilang elektronik diperbanyak.;
432;@jee_creepers @LokalPendaki udah ada tilang elektronik bang biasanya polisi tinggal foto plat nya aja;
433;@heitiw @Asaeny Mungkin kk nya liat nopolnya dari surat tilang elektronik...;
434;@Pai_C1 Enak banget itu dikenain tilang elektronik kayaknya boleh nih polisi bikin tilang elektronik via pengaduan masyarakat disertai bukti foto atau video. @DivHumas_Polri @TMCPoldaMetro;
435;@NTMCLantasPolri Perlu tilang elektronik tambahan ganjil genap di jalur kontra flow jika kecepatan lebihi 60 km/jam ya kang mas;
436;@kegblgnunfaedh Kena tilang elektronik itu...;
437;@akugakasyik awas kena tilang elektronik;
438;Betul untuk hal seperti ini pak polisi terbitkan tilanh elektronik saja. Tilang 5x lipat dari biasanya. Cc pak @jokowi;
439;@glrhn Minimal mobil harus lebih tinggi dari kanan kiri kaca harus lebih gelap dari kanan kiri dan di depan ada CCTV atau enggak biar gak kenal tilang elektronik. Wkwkwk.;
440;"@djfarezki @catuaries Pdhl tilang elektronik bolehin pk bukti rekaman masy. sbgmn polisi bs pake foto hp. Masy. yg kirim dpt prosentase tentu disclosed ya. Smw merasa slg awasi jd tertib. Polisi bs urus hal selain lalin &amp; tentu masy. dpt pemasukan sampingan potong pajak tentunya. Pnbp jg meningkat.";
441;@NephilaXmus Harusnya bisa lakukan tuntutan pengadilan ramai-ramai agar pada kondisi seperti ini tilang elektronik dihentikan dulu.;
442;@Pai_C1 Mungkin polisi bisa bantu bikin spanduk barangsiapa yg melempar uang atau apapun dan tertangkap kamera cctv / lalu lintas akan dikenakan denda dgn tilang elektronik dengan nominal .. *Pengendara udah dikondisikan tukang sapu gue yakin nanti ilang kalo gk ad yg ngasih.;
443;@ridwanhr Udh gak ada tilang elektronik ya khn gampang tinggal ambil hp cekrek cekrek gak bikin macet;
444;@za_ka kadang ada surat tilang elektronik undangan nikahan;
445;608 Mobil Pemudik Langgar Ganjil Genap di Tol Trans Jawa Siap-Siap Dapat Surat Tilang Elektronik https://t.co/QqnU4fFPhK;
446;Cek tilang elektronik lama bgt ya loadingnya???;
447;@MasBRO_back @TMCPoldaMetro bisa nggak jadi bukti tilang elektronik ?;
448;@ListyoSigitP Maaf Pak Kapolri @ListyoSigitP .. Sistem Ganjil Genap Arus Mudik Lebaran 2024 sebagai Antisipasi Kemacetan dan Lonjakan Kendaraan Kenapa Harus Di Sanksi Tilang Elektronik bagi Pelanggarnya Pak..?;
449;Langgar Ganjil Genap Mudik Lebaran Siap-Siap Bayar Tilang Elektronik Segini! https://t.co/5iaMYygke1;
450;Ganjil Genap Tol Trans Jawa Mulai 5 April 2024 Awas Kena Tilang Elektronik! https://t.co/OGMMRshCPp;
451;Ada beberapa hal yang patut diperhatikan pemudik tahun ini mulai dari rekayasa lalu lintas dengan sistem tilang elektronik di ruas jalan tol hingga ancaman cuaca ekstrem. https://t.co/x44k4vZTUz https://t.co/9Dc2q7qnvW;
452;Awas Kena Tilang Elektronik saat Ganjil Genap Mudik Lebaran! Polri Beri Penjelasan https://t.co/7fA6ggyhXc;
453;@GTRoulette Kena tilang elektronik denda maksimal Rp. 500.000;
454;@asalovly wkwkwk di surabaya dh ga ada tilang elektronik krn sbnernya org surabaya lampu merah br ijo jga semua org udh klakson suruh jalan;
455;Lebih lanjut terkait pelanggaran lalu lintas Kakorlantas Polri Irjen Pol. Dr. Drs. Aan Suhanan https://t.co/WnobxDspT2. para pelanggar akan ditindak secara tilang elektronik atau ETLE lalu setelah libur 16 April surat pelanggaran akan dikirim ke alamat sesuai dengan STNK.;
456;Lebih lanjut terkait pelanggaran lalu lintas Kakorlantas Polri Irjen Pol. Aan Suhanan menuturkan bahwa para pelanggar akan ditindak secara tilang elektronik atau ETLE lalu setelah libur tanggal 16 April surat pelanggaran akan dikirim ke alamat sesuai dengan STNK.;
457;Owner burung kutilang ketika tau ada tilang elektronik https://t.co/0n4ofbSvf2;
458;@ScherazadeMS Harus ini kena tilang ELektronik;
459;Yang mo mudik via darat area pulau Jawa ada tambahan Ganjil Genap juga nih Tiati tilang elektronik https://t.co/wFugdIWzpX;
460;"Jadwal One Way Contra Flow &amp; Ganjil Genap Mudik Lebaran 5 April 2024 Ada Tilang Elektronik! https://t.co/txIJ8qHl7i";
461;tadi kena tilang elektronik bjirr takut di marahin bokap :(;
462;Ya Allah bapak gw berbulan2 kakinya sakit baru sebulan operasi kaga bisa kemana2 (baru skrg doang bisa naik motor sama sepeda) tiba-tiba dapet kiriman surat tilang. Mana fotonya pas dikirimin aja FOTO ANGKOT ALIAS BUKAN MOBIL GUE. Kocak bgt sistem tilang elektronik ini.;
463;@yan_zenin owner burung kutilang ketika tau ada tilang elektronik;
464;@ngalammenfess di sabilillah itu ada tilang elektronik seingetku;
465;@pemilikmodal @PT_Transjakarta padahal TJ udah ada CCTV. tinggal scan aja masukin tilang elektronik.;
466;5 Cara Mengecek Motor Terkena Tilang Elektronik atau Tidak https://t.co/oSbAptjsEy;
467;Jadwal Ganjil Genap Mudik Lebaran Mulai 5 April 2024 Awas Kena Tilang Elektronik! https://t.co/QFJxdhFJQE;
468;Kakak gw kena tilang elektronik anjir;
469;Korps Lalu Lintas (Korlantas) Polri bakal memasang kamera tilang elektronik atau E-TLE di ruas Jalan Tol Cikampek saat musim mudik lebaran tahun ini berlangsung. https://t.co/2OFjSWimrj;
470;Ganjil Genap Diberlakukan di Tol Trans Jawa Selama Mudik Lebaran Pelanggar Bisa Kena Tilang Elektronik https://t.co/Mi4sqzqGyr;
471;Cek Pelat Nomor Dulu Sebelum Mudik Agar Terbebas Tilang Elektronik Ganjil Genap di Tol https://t.co/ygM0sfNFYq;
472;Ini Jadwal Sistem Genap-Ganjil Satu Arah dan Contraflow di Trans Jawa Rekayasa lalu lintas dengan sistem ganjil genap satu arah dan melawan arus akan diberlakukan di Tol Trans Jawa mulai Jumat (5/4/2024). Tilang elektronik akan diberlakukan bagi pengendara yang https://t.co/vC1QwHok8l;
473;Sat Lantas Polres Buleleng telah menambah satu lagi kamera tilang elektronik di Jalan Ahmad Yani Singaraja tepatnya sebelah timur traffic light menuju Pantai Penimbangan https://t.co/0oeG1zSLik;
474;Sistem ganjil-genap satu arah dan contraflow diberlakukan mulai Jumat (5/4). Tilang elektronik untuk yang melanggar. https://t.co/WUJSH615uY;
475;271 Pengendara di Bulukumba Terjaring Tilang Elektronik https://t.co/M6pdDurgdf;
476;Kakak : mudik ada ganjil-genap kita gak bisa pulang jam itu Gw : tahun kemaren aman-aman aja Kakak: tahun ini tilang elektronik Gw : yaudah aman berarti yg penting bisa lewat gak disuruh putbal;
477;@kegblgnunfaedh hal kayak gini berulang kali terjadi kenapa? ya karena penegakan aturan gak dilakukan dengan tegas! sim nembak atau malah gak punya sim dibiarkan berkendara gak ada sanksi tegas patroli malam males2an tilang elektronik gak efektif supir truk di bawah umur dst;
478;Petugas Tilang Elektronik Dapat Tunjangan Insentif Tahun Ini https://t.co/oJjb03o4zp;
479;11.32: RT @TMCPoldaMetro : Tim E-TLE Mobile Sat Lantas Jakarta Selatan melakukan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Bintaro Raya Tanah Kusir Kebayoran Lama Jaksel. https://t.co/csCJf3h38g;
480;11.11 Tim E-TLE Mobile Sat Lantas Jakarta Selatan melakukan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Bintaro Raya Tanah Kusir Kebayoran Lama Jaksel. https://t.co/In1If2p680;
481;Abis liat konten seorang ibu yg lg nyetir trus bayinya duduk di jok penumpang depan pake sofa bed bukan carseat trus dia videoin sambil nyetir. Aku mulai gerah deh liat orang bikin konten sambil nyetir klo ku polisi kyknya udah aku tiba-tiba kasih tilang elektronik. Kzzzl;
482;@lckmnrv Kamera buat tilang elektronik aja keknya banyak yang udah di cabut lagi deh;
483;Pemkab Seruyan Serahkan Hibah Peralatan Tilang Elektronik https://t.co/UV0LVvWybO;
484;Ini Lokasi Tilang Elektronik Ganjil Genap Selama Mudik Lebaran 2024 https://t.co/monKqE8qMo;
485;POLISI tetap akan memberlakukan sistem ganjil genap Jakarta atau gage selama masa arus mudik dan arus balik lebaran 2024. Pengendara akan diawasi dan ditilang oleh kamera tilang elektronik https://t.co/jMjnau3aBy;
486;Tolong yg kyk gini ditilang lah @DivHumas_Polri kan ad tilang elektronik nohh..;
487;Wkwk selalu bertanya tanya ada ga ya korban dari lampu tilang elektronik. Tiap lewat pasti mata auto ada sisi yg gelapnya;
488;@DalemSatrio Pak pol ilang pengguna dari Suhat arah kekanan/ Dinoyo lsg numpuk mangan dalan Marka macet pastilah Tilang elektronik pasti panen disini byk masukan diberi pembatas Marka ckp 5meter agar yg arah mbetek lancar @dishub_mlgkota @cityguide911fm @Senaputra_FM @infomalang;
489;Malah kocak kalo ditutup padahal udah ada teknologi namanya kamera tilang elektronik Biarin aja masuk besok tinggal kirim surat tilang ke rumah;
490;@thepooptatoz @infobandung @tmc_restabesbdg @DivHumas_Polri @ListyoSigitP Halo Sobat Polri terimakasih atas informasinya. Tilang manual kembali diberlakukan karena penerapan tilang elektronik atau ETLE belum efektif dalam mencegah pelanggaran lalu lintas. Yang terjadi adalah sebaliknya banyak pengguna jalan yang merasa bebas untuk melanggar (1/3);
491;09.44 Tim E-TLE Mobile Sat Lantas Jakarta Selatan melaksanakan kegiatan penindakan tilang elektronik kepada pengendara motor yang melanggar lawan arus di depan SPBU Bintaro Tanah Kusir Jl. Bintaro Raya Kebayoran Lama Jaksel. https://t.co/p6OENAH3Ur;
492;@argomerbabu Ditilang elektronik kan bukannya kalau di atas jam 10 malem semua mati.. Alias gak ada tilang dll.. Ahhh sudahlah..;
493;Selamat malam @Poldametrojaya_ barusan saya mendapatkan wa surat tilang elektronik seperti ini dan sudah terdownload namun tidak terinstall di hp karena tidak ada aplikasi untuk membuka file apk tersebut. Apakah ada hal lain yg harus saya lakukan selain menghapus file tersebut? https://t.co/m3PsKyhYFy;
494;Rombongan konvoi Takjil On the Road tertangkap kamara ETLE atau tilang elektronik di Jalan Pettarani Makassar Minggu 24 Maret 2024 pukul 16:59 WITA. https://t.co/rys27d9Dzs;
495;Dapat Surat Cinta Begini 5 Cara Cara Cek Tilang Elektronik yang Mudah dan Praktis! https://t.co/5VW3It8Yq2;
496;adek: 'bang adek beli motor ini aja lah biar ga kena tilang elektronik' iya dek.. https://t.co/xAcf1QOX4I;
497;@RNacional_News Asu guru seperti itu langsung pas pulang gantung di tilang elektronik;
498;EH INI KALO SUDIRMAN UDAH KENA TILANG ELEKTRONIK KOCAAAAKKKK;
499;Agar Surat Kendaraan Tidak Terblokir Begini Cara Bayar Tilang Elektronik https://t.co/JauGRONnJH;
500;Melanggar Aturan Lalu Lintas Berapa Biaya Denda Tilang Elektronik https://t.co/wX3qfF45nt;
501;BAPA GUA KENA TILANG ELEKTRONIK;
502;@kompascom tapi video tilang elektronik (etle) bisa dijadikan bukti? video cctv kejahatan bisa dijadikan bukti? kenapa tidak meng apply logic yg sama untuk bukti kepemilikan?;
503;11.10 Polri Satlantas Jaktim Penyuluhan ttg ETLE ( Tilang elektronik ) dan bagi Masker kpd Petugas Sudin Pertamanan Jatinegara Jakarta Timur https://t.co/PSXRzxrJmN;
504;Deg degan lagi bayar pajak motor sama yg mulia ratu kirain bakal kena tilang elektronik soalnya sering nerobos lampu merah wkwkwk Jadi kmaren yg kena flash itu apa anjerr;
505;Hati-Hati Melanggar Ganjil Genap di Jalur Mudik Langsung Kena Tilang Elektronik https://t.co/pbNuNTZ0cm;
506;MAGELANG JATENG https://t.co/eTuTwiCipO - Satlantas Polresta Magelang Polda Jawa Tengah menggunakan sistem tilang elektronik berbasis drone atau ETLE Drone pada Operasi Keselamatan Lalu Lintas Candi (OKLC) 2024. https://t.co/lNZBNRFVFM;
507;https://t.co/FEL87ypRWN Kasatlantas Kotim: Waspada penipuan berkedok surat tilang elektronik;
508;@M000LIN kl ada yg kena tilang elektronik minta proses pengadilan aja cuma kena 100-150 aja kl ada petugas mau nolong ngurusin mending gausah soalnya sm petugas bisa kena di 300-500 (kmrn aku di tawarinnya segitu);
509;Sat Lantas Polresta Banyumas mengembangkan sebuah sistem tilang elektronik berbasis drone yang disebut ETLE drone dengan menerbangkan drone di beberapa titik dalam kota Purwokerto. https://t.co/uann1788El;
510;Sat Lantas Polresta Banyumas mengembangkan sebuah sistem tilang elektronik berbasis drone yang disebut ETLE drone dengan menerbangkan drone di beberapa titik dalam kota Purwokerto. Sistem (Electronic Traffic Law Enforcement) ETLE drone merupakan teknologi yang dikembangkan oleh https://t.co/Mr9Xdj9ehD;
511;Sat Lantas Polresta Banyumas mengembangkan sebuah sistem tilang elektronik berbasis drone yang disebut ETLE drone dengan menerbangkan drone di beberapa titik dalam kota Purwokerto. Sistem (Electronic Traffic Law Enforcement) ETLE drone merupakan teknologi yang dikembangkan . https://t.co/PnrGMUEVrA;
512;Penindakan dengan ETLE drone ini untuk melengkapi penindakan dengan sistem tilang elektronik baik statis maupun mobile serta tilang manual. https://t.co/GklpkTqDiX;
513;Sistem Tilang Elektronik di Sulsel Capai 1 7 Juta Pelanggaran https://t.co/GIZpBBj4OU;
514;U bunuh diri namanya disana aja ada tilang elektronik;
515;@apocalyfse kemarin gue juga baru dapet surat tilang elektronik apk wkwkwk;
516;11.55 Tim E-TLE Mobile Sat Lantas Jakarta Selatan melaksanakan kegiatan penindakan tilang secara elektronik kepada pengendara motor yang melanggar lawan arah dan tidak menggunakan helm di Jl. Pondok Labu Raya Cilandak Jaksel. https://t.co/VNG3mJf1JR;
517;@txtdrjkt Pasangin CCTV Tilang elektronik di setiap halte bus TJ pasti banyak banget yg kena;
518;SIREKAP KPU kalo gak akurat terus coba next fotonya pake kamera tilang elektronik deh;
519;@D_Zig @AltecoGaring Iku di perempatan BCA Batu arah dari kidul arepe ngalor di kono lampu TL warna hijaune mek diluk Paling seng nyopir libom putih mboh selak nang endi Kok nayap Kesusu susu Mungkin selak njokok penumpang Fokus hp gag fokus ngarepe Padahal dikono onok cctv tilang elektronik;
520;-dips! Aku akan melakukan riset tentang penipuan nih yang berjudul Modus Penipuan Undangan Pernikahan dan Surat Tilang Elektronik . Aku ingin melihat dan menganalisis seberapa banyak orang yang pernah mendapatkan penipuan melalui chat whatsapp atau media sosial (cont..);
521;Pemasangan ETLE merupakan program dari Korlantas. Di Bangli baru di satu ruas jalan dilengkapi kamera tilang elektronik yakni di Jalan Merdeka. https://t.co/YCZpEnLXvf;
522;@kangtjoek Loh yo gak ada pembenaran dolor sat lantas polresta malang kota tetap melaksanakan tindakan hukum penilanangan loh...cara melepas ini tidak elok hanya karena alibi menghindari elektronik Tilang;
523;@anisadwila20_ Keren jga di tegal udah ada tilang elektronik;
524;Di hari Kamis yang mendung ini saya bersama adik saya terkena tilang elektronik karena gak bawa helm stnk dan sim. Terima kasih.;
525;@kisahclassiic Sudah direkam cctv nya tiba2 bebanyak total tilang elektronik pas bayar pajak;
526;Awas Ketipu Surat Tilang Elektronik Bukan Dikirim Lewat Whatsapp https://t.co/JOoiP202xB;
527;Teman IRSMM bukan hanya starter pack ini adalah kunci untuk meraih gelar 'Pengemudi Bebas Tilang Elektronik'! Ingat gunakan sabuk pengaman berkendara sesuai batas muatan dan kecepatan yang berlaku https://t.co/VwdrtCs4db;
528;@DiaryofIntak @DiaryofGowon Abis kena tilang elektronik;
529;Ndes yg pernah ke tilang elektronik ngacung? Tukang surat baru nganter hari ini. Sedangkan disurat konfirmasi terakhir tgl 13 terus pembayaran ku gak bisa dong. Info yg bisa tau pembayaran;
530;Berikut sejumlah pelanggaran lalu lintas yang menjadi target tilang elektronik atau ETLE. https://t.co/ZsZotDcStV;
531;@thoriqmm Ujungnya tetep yg waras harus ngalah pelan di kiri sambil ngasih jalan yg mau kebut-kebutan ya. Mksud gw ga bisa gitu yg lebih dari 100 langsung dpt tilang elektronik masak cuman omongan di berita doang nyatanya ga ada yg kena;
532;@Pai_C1 @TMCPoldaMetro tlong dan semoga kena tilang elektronik semua bendaÂ² ini;
533;@peakypickk lebih takut kena tilang elektronik ketimbang nabrak;
534;iadi pacar aku sini biar kita sama2 kena tilang cctv elektronik soalnya tiap kamu peek a boo aku cium/jk;
535;@jakoyjaki Tapi masa sereman tilang elektronik;
536;07.33 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan penindakan tilang elektronik kepada pengendara mobil yang melanggar kebijakan wilayah GAGE di turunan Tol Becakayu Jl. DI. Panjaitan Kebon Nanas Jaktim. https://t.co/rVVYnLvAyC;
537;@Djat_mika @BaleBengong @HumasBali @DenpasarKota Setiap persimpangan besar ada saja yg melanggar karena kurang kesadaran dari diri sendiri dan masih lemahnya penegakan hukum dan kamera tilang elektronik belum setiap persimpangan terpasang;
538;@ruudsurya @BaleBengong @HumasBali @DenpasarKota Benar kadang melewati marka batas berhenti kendaraan dan disana belum ada kamera tilang elektronik sebagai mekanisme penegakan aturan;
539;@hiYano @BaleBengong @HumasBali @DenpasarKota @DpsLantas Bisa ditambah kamera tilang elektronik nya disini seharusnya;
540;@harlandy26 @BaleBengong @HumasBali @DenpasarKota Benar harus didik sejak usia belia karena di jalan itu milik bersama dan harus saling menghargai hak orang lain di jalan serta kamera tilang elektronik untuk penegakan hukum nya;
541;Warga Tapin Ingat Ini Mulai Besok Tilang Elektronik Diberlakukan https://t.co/Yw9360NfdN lewat @banjarmasinpost;
542;@Pai_C1 Kemana kabarny tilang elektronik? Heran ada teknologi ga dpake;
543;@couplezee Hati2 kamera tilang elektronik skrg jelas banget walaupn pake kaca film gelap hahaha ini gokil sih pose nya sweet banget;
544;@juliantijaya_ No ge di hack gara gara kek gini bedanya gw surat tilang elektronik;
545;Semuanya bebal kasih CCTV motor yang lewat tilang elektronik denda. Pasti kapok bayar denda;
546;Begini Cara Cek Tilang Elektronik https://t.co/ymLW4Ed4m4;
547;@MemoirsOfSchool Waduh kayanya iya. Loker isinya penuh dengan surat tilang elektronik.;
548;@Paidjo2018 Ati ati kena tilang elektronik;
549;@adambrotowijono Tentu saja tak lupa kita haturkan sumpah serapah kepada yang terhormat kebijakan tilang elektronik yang semakin meluas. Atas berkat cahaya flashnya chance anda tertilang semakin meroket. @rfqsyw;
550;@fitridefi @sehatyas Atau belajar ke polri sistem pemindaian dan pengenalan nomer polisi di tilang elektronik itu bagus;
551;@RadioElshinta Ini akibat penegakan hukum yang lemah di depan manusia2 berperadaban rendah. Mana itu kamera tilang elektronik? Manusia kayak gini hanya takut kalau uangnya keluar buat bayar tilang. Kl mati mereka gak takut.;
552;@R_Fahri12 @ListyoSigitP Halo Sobat Polri tilang manual kembali diberlakukan karena penerapan tilang elektronik atau ETLE belum efektif dalam mencegah pelanggaran lalu lintas. Dengan dihilangkan tilang manual ternyata nilai kesadaran masyarakat dalam berlalu lintas menurun (1/2);
553;knp si jir gw kira potret yang otomatis itu lo tilang elektronik;
554;@BisKota_ aman nih ga bakal kena tilang elektronik;
555;Serius nanya di Malang buaaanyak yang lepas plat belakang why? Lapo? Ngindari tilang elektronik?;
556;@MbokGekkk Kene tilang elektronik men sing nganggo seatbelt Mbo;
557;22 Pengedara di Karimun Tercatat sebagai Pelanggar Tilang Elektronik https://t.co/kpr9O0JEiG https://t.co/mpdNr1XlSc;
558;Wasapada Ada Modus Baru Penipuan Tilang Elektronik https://t.co/jHvV6CWnBd;
559;elektronik. Optimalkan saja ETLE agar mereka bisa sadar. Sebab jika mereka membandel akan terus-menerus terkena denda lewat tilang elektronik dan aturannya juga sudah jelas di UU lalu lintas ungkapnya. Wacana pelarangan membeli BBM di SPBU itu tak relevan sebab bisa saja;
560;@MasMasBiassaa samsat online KTP yowes elektronik alias ono chip e cek pajak online tilang wae lo wes elektronik tapi kok nek ngurus opowae kudu fotokopi ktp ki jane keyboard komputer e dinggo login tok opo pie + meresahkan jane ki calo/joki samsat antrine wong 1 stnk ne iso 6;
561;06.51 Tim E-TLE Mobile Sat Lantas Jakarta Timur melakukan penindakan tilang secara elektronik pelanggaran GAGE kepada pengendara mobil di exit Tol Becakayu Jl. DI. Panjaitan Kebon Nanas Jaktim. https://t.co/q8L5yqUi4A;
562;Lokasi ganjil genap Jakarta 2023 hari ini diawasi ketat menggunakan beragam metode termasuk tilang elektronik https://t.co/QRtF0GHKNR;
563;Kapolda Sulsel Berkomitmen Kembangkan Tilang Elektronik https://t.co/8XVHQQ22ve;
564;Capture tilang elektronik atau Electronic Traffic Law Enforcement (ETLE) terus dikembangkan Direktorat Lalulintas (Ditlantas) Polda Sulsel Selasa 23 Januari 2024 'Kamera ETLE Rekam Pelat Gantung Hati-Hati Tindak Pidana Menanti Pengendara' selengkapnyaÂ https://t.co/dLpTxpdWd2;
565;Hati-hati! Tilang Elektronik Sudah Berlaku di Semua Daerah di Sulsel https://t.co/tOlf8xrLvg;
566;Kembangkan Tilang Elektronik Irjen Andi Rian Ingin Bangun Sulsel Jadi Lebih Baik https://t.co/7VB2qrYusF;
567;Polda Sulsel Komitmen Terus Kembangkan Tilang Elektronik: NEWS https://t.co/887Qmgi3z5 - Kapolda Sulawesi Selatan (Sulsel) Irjen Pol Andi Rian R Djajadi berkomitmen akan terus mengembangkan pelayanan bidang lalu lintas berbasis digital dengan terus https://t.co/P479Wo3nyq;
568;Kapolda Sulsel Berkomitmen Kembangkan Tilang Elektronik demikian dikemukakan Kapolda saat melakukan kunjungan silaturahmi ke Universitas Hasanuddin (Unhas) Makassar pada Senin (22/1/2024). https://t.co/DEEHYuqkpS;
569;Kakorlantas Polri Irjen Pol. Dr. Drs. Aan Suhanan https://t.co/4nTW6ioV4M. mengapresiasi langkah Ditlantas Polda Sulawesi Selatan (Sulsel) dinilai serius dalam mengembangkan dan mengimplementasikan penegakan hukum tilang elektronik atau E-TLE. https://t.co/r0IenPRlMi;
570;Kakorlantas Polri Irjen Pol. Dr. Drs. Aan Suhanan https://t.co/y5PyPGb6VI. mengapresiasi langkah Ditlantas Polda Sulawesi Selatan (Sulsel) dinilai serius dalam mengembangkan dan mengimplementasikan penegakan hukum tilang elektronik atau E-TLE https://t.co/IvtvO9E0zx;
571;Ikut Konvoi Kampanye Partai 107 Motor Berknalpot Brong Terjaring Tilang Elektronik https://t.co/nvX9EzZ8dZ;
572;Simak Langkah Bayar Tilang ETLE 2024 Bisa dari Rumah Kepolisian terus meningkatkan penggunaan tilang elektronik atau ETLE guna menindak para pelanggar di jalan raya. More Info : call : 088211567518 *Member Of Astra* PT Astra International Tbk https://t.co/XijhhJHp73;
573;@xooslove semoga kena tilang elektronik;
574;@sosmedkeras Cust tolol! Emang kalo drivernya kena tilang elektronik lu mau tanggung jawab??;
575;@TMCPoldaMetro Mohon pencerahan pak komandan apakah tilang elektronik seperti ini?. Buka buka seperti link ini? https://t.co/dM1QgoPBgv;
576;@sbyfess Lak ancen tilang elektronik aktif paling utang negara lunas;
577;Lha tilang elektronik saja kurang maksimal hasilnya karena kendaraan bodong tetap bebas. Nekat naikin pajak yg tertib.;
578;@unnesmenfess Pertanyaan gak mutu bgt. Masalahnya tilang elektronik;
579;Polisi bakal mengujicobakan tilang elektronik atau Electronic Traffic Law Enforcement (ETLE) di Kota Singaraja. https://t.co/RbVqnFMgTs;
580;Polres Aceh Timur Belum Terapkan Tilang Elektronik Fokus Edukasi Tertib Berlalu Lintas Kepolisian Resor Aceh Timur Polda Aceh sampai saat ini belum menerapkan penilangan secara elektronik alias e-TLE pada pengendara roda dua maupun roda empat. https://t.co/VacEKqp4OA;
581;*Polres Aceh Timur Belum Terapkan Tilang Elektronik Fokus Edukasi Tertib Berlalu Lintas* https://t.co/FCJGWB5mvi;
582;Polres Aceh Timur Belum Terapkan Tilang Elektronik Fokus Edukasi Tertib Berlalu Lintas Selengkapnya di https://t.co/fHcbv9Fyy1 https://t.co/MMyBjA8UZo;
583;*Polres Aceh Timur Belum Terapkan Tilang Elektronik Fokus Edukasi Tertib Berlalu Lintas* https://t.co/LNDLigwSUC;
584;*Polres Aceh Timur Belum Terapkan Tilang Elektronik Fokus Edukasi Tertib Berlalu Lintas* Kepolisian Resor Aceh Timur Polda Aceh sampai saat ini belum menerapkan penilangan secara elektronik alias e-TLE pada pengendara roda dua maupun roda empat. https://t.co/T3l5SVA6RJ;
585;Kakorlantas Polri Irjen Pol Dr. Drs. Aan Suhanan mengapresiasi keseriusan Ditlantas Polda Sulawesi Selatan (Sulsel) dalam mengembangkan electronic traffic law enforcement (ETLE) atau tilang elektronik baik ETLE statis ETLE Mobile on Board maupun ETLE Mobile Handheld. https://t.co/VZpK5hiSkr;
586;@veronayuika Kalo kena tilang elektronik nanti surat tilang langsung dikirim via pos ke alamat sesuai STNK jadi jangan dibuka kalo dikirim selain via pos (((Pernah kena)));
587;Penipuan Tilang Elektronik ETLE Beredar Lagi di WhatsApp Kenali Ciri-cirinya! https://t.co/T89x8hDi1a;
588;Kembali beredar pesan pemberitahuan tilang elektronik melalui aplikasi WhatsApp di media sosial X(Twitter). https://t.co/LeMG85Btzl;
589;Nantinya ada fitur tilang elektronik terkoneksi ke Rekening anda denda secara otomatis dipotong dari dompet digital anda teknologinya makin pintar terutama dalam membodohi masyarakat. https://t.co/zEO66Mb1ob;
590;@Djat_mika @BaleBengong @HumasBali @DenpasarKota @teman_bus @kemenhub151 @jalur5_ @BahasBus @BisKota_ Karena kurangnya kesadaran dari warga pengguna jalan serta harusnya penerapan tilang elektronik lebih masif dan denda nya harus tinggi agar warga bisa tertib secara tidak langsung;
